ksi_match_id,season,date,time,home_team_ksi_id,away_team_ksi_id,home_goals,away_goals,ground_id,status
766149,2024,2024-04-20,16:15,5698,5366,0,1,17,FT
757115,2024,2024-04-21,14:00,5731,5734,0,1,2,FT
689384,2024,2024-04-21,17:00,5735,5386,5,1,18,FT
684537,2024,2024-04-21,19:15,5364,5387,4,1,9,FT
689383,2024,2024-04-28,14:00,5735,5733,1,2,18,FT
766143,2024,2024-04-28,14:00,5734,5732,1,0,17,FT
684534,2024,2024-04-28,16:15,5364,5731,4,2,9,FT
757379,2024,2024-04-28,18:30,5698,5387,2,3,13,FT
768093,2024,2024-04-29,18:00,5363,5366,1,1,16,FT
754340,2024,2024-04-29,19:15,5386,5730,0,1,1,FT
623883,2024,2024-05-04,14:00,5733,5734,3,2,8,FT
757116,2024,2024-05-05,16:00,5731,5698,1,1,2,FT
739701,2024,2024-05-05,17:00,5730,5735,4,1,5,FT
727450,2024,2024-05-05,19:15,5732,5364,3,1,10,FT
768365,2024,2024-05-05,19:15,5366,5386,2,1,15,FT
631517,2024,2024-05-06,19:15,5387,5363,2,3,6,FT
739691,2024,2024-05-10,19:15,5730,5366,1,1,5,FT
768841,2024,2024-05-11,14:00,5735,5734,3,0,19,FT
768098,2024,2024-05-11,17:00,5363,5731,3,1,16,FT
757369,2024,2024-05-12,17:00,5698,5732,1,2,13,FT
754345,2024,2024-05-12,19:15,5386,5387,0,3,1,FT
684528,2024,2024-05-12,19:15,5364,5733,2,0,9,FT
766129,2024,2024-05-20,14:00,5734,5364,1,4,17,FT
757117,2024,2024-05-20,16:15,5731,5386,4,2,2,FT
623881,2024,2024-05-20,17:00,5733,5698,1,2,8,FT
631486,2024,2024-05-21,19:15,5387,5730,2,1,6,FT
727451,2024,2024-05-21,19:15,5732,5363,1,2,10,FT
768364,2024,2024-05-21,19:15,5366,5735,1,1,15,FT
757524,2024,2024-05-25,16:00,5698,5734,2,2,13,FT
768651,2024,2024-05-25,17:00,5735,5364,0,1,19,FT
768099,2024,2024-05-25,19:15,5363,5733,2,2,16,FT
768363,2024,2024-05-26,17:00,5366,5387,1,4,15,FT
739675,2024,2024-05-26,17:00,5730,5731,5,0,5,FT
754357,2024,2024-05-27,19:15,5386,5732,3,1,1,FT
